交易时间,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅%,成交量,成交额
1/3/2005,45.92 ,46.01 ,45.82 ,45.95 ,0.00 ,0.00 ,479600.00 ,0.00 
1/4/2005,45.97 ,45.99 ,45.80 ,45.90 ,-0.04 ,-0.10 ,190500.00 ,0.00 
1/5/2005,45.86 ,45.93 ,45.79 ,45.88 ,-0.02 ,-0.04 ,69900.00 ,0.00 
1/6/2005,45.90 ,45.93 ,45.85 ,45.92 ,0.03 ,0.07 ,75400.00 ,0.00 
1/7/2005,45.94 ,45.96 ,45.82 ,45.90 ,-0.01 ,-0.03 ,137000.00 ,0.00 
1/10/2005,45.91 ,45.91 ,45.81 ,45.88 ,-0.02 ,-0.05 ,69500.00 ,0.00 
1/11/2005,45.96 ,46.00 ,45.87 ,45.94 ,0.06 ,0.14 ,78600.00 ,0.00 
1/12/2005,45.96 ,46.03 ,45.88 ,46.01 ,0.07 ,0.15 ,119100.00 ,0.00 
1/13/2005,46.05 ,46.14 ,46.01 ,46.12 ,0.11 ,0.24 ,62400.00 ,0.00 
1/14/2005,46.07 ,46.09 ,45.93 ,45.96 ,-0.17 ,-0.36 ,124200.00 ,0.00 
1/18/2005,46.01 ,46.08 ,45.89 ,46.08 ,0.12 ,0.27 ,86600.00 ,0.00 
1/19/2005,46.11 ,46.15 ,46.03 ,46.14 ,0.07 ,0.15 ,88300.00 ,0.00 
1/20/2005,46.12 ,46.22 ,46.04 ,46.21 ,0.06 ,0.14 ,98400.00 ,0.00 
1/21/2005,46.17 ,46.24 ,46.15 ,46.23 ,0.02 ,0.05 ,85200.00 ,0.00 
1/24/2005,46.23 ,46.25 ,46.17 ,46.24 ,0.01 ,0.02 ,85200.00 ,0.00 
1/25/2005,46.19 ,46.20 ,46.11 ,46.16 ,-0.08 ,-0.17 ,79600.00 ,0.00 
1/26/2005,46.19 ,46.19 ,46.10 ,46.14 ,-0.02 ,-0.05 ,95100.00 ,0.00 
1/27/2005,46.08 ,46.09 ,46.01 ,46.07 ,-0.06 ,-0.14 ,83900.00 ,0.00 
1/28/2005,46.17 ,46.23 ,46.11 ,46.23 ,0.16 ,0.34 ,79400.00 ,0.00 
1/31/2005,46.23 ,46.23 ,46.10 ,46.17 ,-0.06 ,-0.13 ,113800.00 ,0.00 
2/1/2005,46.13 ,46.26 ,46.13 ,46.22 ,0.05 ,0.11 ,98400.00 ,0.00 
2/2/2005,46.23 ,46.27 ,46.18 ,46.26 ,0.04 ,0.08 ,203100.00 ,0.00 
2/3/2005,46.17 ,46.20 ,46.10 ,46.20 ,-0.06 ,-0.13 ,52500.00 ,0.00 
2/4/2005,46.41 ,46.45 ,46.22 ,46.39 ,0.19 ,0.42 ,52800.00 ,0.00 
2/7/2005,46.41 ,46.46 ,46.27 ,46.40 ,0.01 ,0.02 ,68900.00 ,0.00 
2/8/2005,46.41 ,46.47 ,46.32 ,46.43 ,0.03 ,0.06 ,114900.00 ,0.00 
2/9/2005,46.46 ,46.58 ,46.40 ,46.55 ,0.13 ,0.27 ,90600.00 ,0.00 
2/10/2005,46.50 ,46.50 ,46.32 ,46.32 ,-0.24 ,-0.51 ,134500.00 ,0.00 
2/11/2005,46.41 ,46.41 ,46.27 ,46.38 ,0.06 ,0.14 ,73700.00 ,0.00 
2/14/2005,46.32 ,46.41 ,46.29 ,46.39 ,0.01 ,0.02 ,99200.00 ,0.00 
2/15/2005,46.23 ,46.39 ,46.23 ,46.30 ,-0.09 ,-0.19 ,139700.00 ,0.00 
2/16/2005,46.39 ,46.39 ,46.18 ,46.24 ,-0.05 ,-0.12 ,75000.00 ,0.00 
2/17/2005,46.20 ,46.27 ,46.13 ,46.22 ,-0.02 ,-0.05 ,90400.00 ,0.00 
2/18/2005,46.14 ,46.24 ,46.12 ,46.23 ,0.01 ,0.03 ,94000.00 ,0.00 
2/22/2005,46.14 ,46.15 ,46.04 ,46.10 ,-0.13 ,-0.28 ,103500.00 ,0.00 
2/23/2005,46.17 ,46.18 ,46.06 ,46.13 ,0.02 ,0.05 ,128300.00 ,0.00 
2/24/2005,46.17 ,46.17 ,46.05 ,46.08 ,-0.05 ,-0.10 ,83600.00 ,0.00 
2/25/2005,46.11 ,46.12 ,46.00 ,46.12 ,0.04 ,0.09 ,66800.00 ,0.00 
2/28/2005,46.12 ,46.13 ,45.93 ,46.00 ,-0.12 ,-0.27 ,359800.00 ,0.00 
3/1/2005,45.90 ,46.00 ,45.90 ,45.97 ,-0.03 ,-0.07 ,125000.00 ,0.00 
3/2/2005,45.86 ,45.99 ,45.86 ,45.91 ,-0.06 ,-0.13 ,171000.00 ,0.00 
3/3/2005,46.01 ,46.01 ,45.83 ,45.95 ,0.04 ,0.08 ,120700.00 ,0.00 
3/4/2005,46.05 ,46.13 ,45.99 ,46.08 ,0.13 ,0.29 ,585500.00 ,0.00 
3/7/2005,46.10 ,46.16 ,45.99 ,46.09 ,0.01 ,0.03 ,203000.00 ,0.00 
3/8/2005,45.99 ,46.01 ,45.92 ,45.99 ,-0.10 ,-0.22 ,96600.00 ,0.00 
3/9/2005,45.88 ,45.90 ,45.67 ,45.71 ,-0.28 ,-0.61 ,110600.00 ,0.00 
3/10/2005,45.79 ,45.79 ,45.61 ,45.66 ,-0.05 ,-0.12 ,173000.00 ,0.00 
3/11/2005,45.76 ,45.76 ,45.58 ,45.69 ,0.04 ,0.08 ,87600.00 ,0.00 
3/14/2005,45.65 ,45.70 ,45.55 ,45.67 ,-0.02 ,-0.04 ,129900.00 ,0.00 
3/15/2005,45.76 ,45.77 ,45.61 ,45.68 ,0.01 ,0.02 ,108000.00 ,0.00 
3/16/2005,45.68 ,45.81 ,45.60 ,45.71 ,0.03 ,0.07 ,94600.00 ,0.00 
3/17/2005,45.81 ,45.84 ,45.63 ,45.71 ,-0.01 ,-0.02 ,191700.00 ,0.00 
3/18/2005,45.67 ,45.72 ,45.56 ,45.67 ,-0.03 ,-0.07 ,80800.00 ,0.00 
3/21/2005,45.73 ,45.73 ,45.62 ,45.67 ,0.00 ,0.00 ,106700.00 ,0.00 
3/22/2005,45.76 ,45.77 ,45.35 ,45.43 ,-0.25 ,-0.54 ,181500.00 ,0.00 
3/23/2005,45.41 ,45.48 ,45.25 ,45.48 ,0.06 ,0.13 ,158800.00 ,0.00 
3/24/2005,45.43 ,45.58 ,45.38 ,45.51 ,0.03 ,0.06 ,101500.00 ,0.00 
3/28/2005,45.46 ,45.46 ,45.32 ,45.42 ,-0.09 ,-0.20 ,83100.00 ,0.00 
