交易时间,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅%,成交量,成交额
1997-01-02,19.11 ,19.18 ,18.67 ,19.04 ,0.00 ,0.00 ,16790000.00 ,0.00 
1997-01-03,19.26 ,19.77 ,19.25 ,19.77 ,0.73 ,3.84 ,12930400.00 ,0.00 
1997-01-06,19.81 ,20.30 ,19.70 ,20.04 ,0.26 ,1.33 ,19244400.00 ,0.00 
1997-01-07,19.99 ,20.35 ,19.81 ,20.30 ,0.26 ,1.32 ,10541200.00 ,0.00 
1997-01-08,20.40 ,20.41 ,19.77 ,19.87 ,-0.43 ,-2.14 ,11697600.00 ,0.00 
1997-01-09,19.85 ,20.13 ,19.68 ,20.12 ,0.25 ,1.25 ,12626800.00 ,0.00 
1997-01-10,19.94 ,20.38 ,19.90 ,20.25 ,0.14 ,0.69 ,17500800.00 ,0.00 
1997-01-13,20.25 ,20.66 ,20.22 ,20.36 ,0.11 ,0.54 ,15650800.00 ,0.00 
1997-01-14,20.50 ,20.83 ,20.44 ,20.75 ,0.39 ,1.92 ,11786400.00 ,0.00 
1997-01-15,20.67 ,20.92 ,20.30 ,20.46 ,-0.30 ,-1.43 ,17712800.00 ,0.00 
1997-01-16,20.47 ,20.72 ,20.29 ,20.57 ,0.11 ,0.53 ,13896000.00 ,0.00 
1997-01-17,20.52 ,20.60 ,20.36 ,20.53 ,-0.03 ,-0.15 ,8868800.00 ,0.00 
1997-01-20,20.49 ,20.83 ,20.44 ,20.75 ,0.22 ,1.06 ,10706000.00 ,0.00 
1997-01-21,20.67 ,21.14 ,20.67 ,20.88 ,0.12 ,0.60 ,14993200.00 ,0.00 
1997-01-22,19.76 ,19.88 ,19.26 ,19.63 ,-1.24 ,-5.95 ,49184800.00 ,0.00 
1997-01-23,19.74 ,19.91 ,18.72 ,18.86 ,-0.78 ,-3.95 ,33802400.00 ,0.00 
1997-01-24,18.87 ,19.14 ,18.52 ,18.70 ,-0.16 ,-0.82 ,32776800.00 ,0.00 
1997-01-27,18.81 ,18.86 ,18.02 ,18.11 ,-0.59 ,-3.16 ,23704400.00 ,0.00 
1997-01-28,18.62 ,19.17 ,18.47 ,18.73 ,0.62 ,3.43 ,32306000.00 ,0.00 
1997-01-29,19.07 ,19.48 ,18.94 ,19.43 ,0.70 ,3.73 ,18664400.00 ,0.00 
1997-01-30,19.60 ,19.66 ,19.35 ,19.54 ,0.11 ,0.55 ,18296000.00 ,0.00 
1997-01-31,19.59 ,19.62 ,19.40 ,19.49 ,-0.05 ,-0.24 ,11565600.00 ,0.00 
1997-02-03,19.56 ,19.56 ,19.20 ,19.25 ,-0.25 ,-1.28 ,10599200.00 ,0.00 
1997-02-04,19.23 ,19.23 ,18.73 ,19.09 ,-0.16 ,-0.81 ,13544800.00 ,0.00 
1997-02-05,19.09 ,19.09 ,18.08 ,18.48 ,-0.61 ,-3.18 ,22077600.00 ,0.00 
1997-02-06,18.56 ,18.65 ,18.12 ,18.18 ,-0.30 ,-1.62 ,20778400.00 ,0.00 
1997-02-07,18.50 ,18.68 ,18.17 ,18.53 ,0.34 ,1.88 ,19807200.00 ,0.00 
