交易时间,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅%,成交量,成交额
1/3/2005,1628.75 ,1635.45 ,1598.79 ,1603.51 ,-17.61 ,-1.09 ,2193130000.00 ,0.00 
1/4/2005,1611.22 ,1612.78 ,1565.02 ,1571.83 ,-31.68 ,-1.98 ,2690460000.00 ,0.00 
1/5/2005,1568.68 ,1580.88 ,1562.64 ,1563.76 ,-8.07 ,-0.51 ,2375380000.00 ,0.00 
1/6/2005,1567.66 ,1570.75 ,1556.84 ,1557.52 ,-6.24 ,-0.40 ,2174220000.00 ,0.00 
1/7/2005,1565.63 ,1577.76 ,1551.29 ,1564.81 ,7.29 ,0.47 ,2191910000.00 ,0.00 
1/10/2005,1561.23 ,1577.71 ,1558.54 ,1564.92 ,0.11 ,0.01 ,2098270000.00 ,0.00 
1/11/2005,1556.66 ,1562.24 ,1545.28 ,1553.40 ,-11.52 ,-0.74 ,2210240000.00 ,0.00 
1/12/2005,1561.84 ,1566.69 ,1543.04 ,1565.78 ,12.38 ,0.80 ,2257670000.00 ,0.00 
1/13/2005,1567.55 ,1568.54 ,1543.48 ,1545.18 ,-20.60 ,-1.32 ,2111610000.00 ,0.00 
1/14/2005,1552.11 ,1563.79 ,1550.05 ,1561.11 ,15.93 ,1.03 ,2084860000.00 ,0.00 
1/18/2005,1554.19 ,1574.39 ,1551.88 ,1573.49 ,12.38 ,0.79 ,1983840000.00 ,0.00 
1/19/2005,1572.81 ,1573.02 ,1545.63 ,1545.65 ,-27.84 ,-1.77 ,2217700000.00 ,0.00 
1/20/2005,1526.80 ,1534.53 ,1514.56 ,1514.56 ,-31.09 ,-2.01 ,2231360000.00 ,0.00 
1/21/2005,1519.30 ,1524.03 ,1502.48 ,1503.64 ,-10.92 ,-0.72 ,2043770000.00 ,0.00 
1/24/2005,1507.79 ,1509.83 ,1480.66 ,1480.66 ,-22.98 ,-1.53 ,2134680000.00 ,0.00 
1/25/2005,1492.65 ,1505.05 ,1488.60 ,1490.57 ,9.91 ,0.67 ,2003630000.00 ,0.00 
1/26/2005,1502.05 ,1513.44 ,1495.31 ,1509.01 ,18.44 ,1.24 ,2105070000.00 ,0.00 
1/27/2005,1505.25 ,1512.74 ,1497.36 ,1507.55 ,-1.46 ,-0.10 ,2106220000.00 ,0.00 
1/28/2005,1510.88 ,1512.82 ,1486.76 ,1499.46 ,-8.09 ,-0.54 ,2098150000.00 ,0.00 
1/31/2005,1515.16 ,1523.27 ,1513.06 ,1519.63 ,20.17 ,1.35 ,1823800000.00 ,0.00 
2/1/2005,1521.00 ,1527.91 ,1517.30 ,1523.66 ,4.03 ,0.27 ,1904570000.00 ,0.00 
2/2/2005,1527.29 ,1531.22 ,1515.45 ,1525.10 ,1.44 ,0.09 ,1965550000.00 ,0.00 
2/3/2005,1516.22 ,1518.13 ,1501.96 ,1508.24 ,-16.86 ,-1.11 ,1962750000.00 ,0.00 
2/4/2005,1507.74 ,1534.97 ,1507.69 ,1534.49 ,26.25 ,1.74 ,1934920000.00 ,0.00 
2/7/2005,1534.48 ,1538.38 ,1522.72 ,1529.05 ,-5.44 ,-0.35 ,1698460000.00 ,0.00 
2/8/2005,1529.55 ,1542.41 ,1527.04 ,1532.69 ,3.64 ,0.24 ,1943560000.00 ,0.00 
2/9/2005,1534.41 ,1534.48 ,1504.60 ,1506.81 ,-25.88 ,-1.69 ,1958810000.00 ,0.00 
2/10/2005,1512.71 ,1514.22 ,1497.35 ,1506.83 ,0.02 ,0.00 ,2085500000.00 ,0.00 
2/11/2005,1505.09 ,1535.54 ,1498.68 ,1530.51 ,23.68 ,1.57 ,2163630000.00 ,0.00 
2/14/2005,1531.19 ,1540.01 ,1530.16 ,1538.21 ,7.70 ,0.50 ,1639640000.00 ,0.00 
2/15/2005,1538.38 ,1561.17 ,1535.34 ,1547.30 ,9.09 ,0.59 ,2071590000.00 ,0.00 
2/16/2005,1541.26 ,1547.69 ,1535.37 ,1542.41 ,-4.89 ,-0.32 ,1865070000.00 ,0.00 
2/17/2005,1543.03 ,1546.69 ,1519.22 ,1519.29 ,-23.12 ,-1.50 ,1950460000.00 ,0.00 
2/18/2005,1519.21 ,1524.04 ,1512.73 ,1515.40 ,-3.89 ,-0.26 ,1614160000.00 ,0.00 
2/22/2005,1502.94 ,1523.51 ,1493.58 ,1494.07 ,-21.33 ,-1.41 ,2056220000.00 ,0.00 
2/23/2005,1502.83 ,1503.89 ,1489.99 ,1497.09 ,3.02 ,0.20 ,1878450000.00 ,0.00 
2/24/2005,1493.59 ,1517.88 ,1491.74 ,1517.71 ,20.62 ,1.38 ,2031880000.00 ,0.00 
2/25/2005,1515.75 ,1528.00 ,1513.47 ,1526.90 ,9.19 ,0.61 ,1771200000.00 ,0.00 
2/28/2005,1517.06 ,1524.70 ,1498.17 ,1511.02 ,-15.88 ,-1.04 ,2130140000.00 ,0.00 
3/1/2005,1516.63 ,1529.37 ,1515.20 ,1527.25 ,16.23 ,1.07 ,1941180000.00 ,0.00 
3/2/2005,1517.68 ,1541.14 ,1514.98 ,1525.28 ,-1.97 ,-0.13 ,2004470000.00 ,0.00 
