交易时间,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅%,成交量,成交额
1997-01-02,740.74 ,742.81 ,729.55 ,737.01 ,0.00 ,0.00 ,0.00 ,0.00 
1997-01-03,737.01 ,748.24 ,737.01 ,748.03 ,11.02 ,1.50 ,0.00 ,0.00 
1997-01-06,748.03 ,753.31 ,743.82 ,747.65 ,-0.38 ,-0.05 ,0.00 ,0.00 
1997-01-07,747.65 ,753.26 ,742.18 ,753.23 ,5.58 ,0.75 ,0.00 ,0.00 
1997-01-08,753.23 ,755.72 ,747.71 ,748.41 ,-4.82 ,-0.64 ,0.00 ,0.00 
1997-01-09,748.41 ,757.68 ,748.41 ,754.85 ,6.44 ,0.86 ,0.00 ,0.00 
1997-01-10,754.85 ,759.65 ,746.92 ,759.50 ,4.65 ,0.62 ,0.00 ,0.00 
1997-01-13,759.50 ,762.85 ,756.69 ,759.51 ,0.01 ,0.00 ,0.00 ,0.00 
1997-01-14,759.51 ,772.04 ,759.51 ,768.86 ,9.35 ,1.23 ,0.00 ,0.00 
1997-01-15,768.86 ,770.95 ,763.72 ,767.20 ,-1.66 ,-0.22 ,0.00 ,0.00 
1997-01-16,767.20 ,772.05 ,765.25 ,769.75 ,2.55 ,0.33 ,0.00 ,0.00 
1997-01-17,769.75 ,776.37 ,769.72 ,776.17 ,6.42 ,0.83 ,0.00 ,0.00 
1997-01-20,776.17 ,780.08 ,774.19 ,776.70 ,0.53 ,0.07 ,0.00 ,0.00 
1997-01-21,776.70 ,783.72 ,772.00 ,782.72 ,6.02 ,0.78 ,0.00 ,0.00 
1997-01-22,782.72 ,786.23 ,779.56 ,786.23 ,3.51 ,0.45 ,0.00 ,0.00 
1997-01-23,786.23 ,794.67 ,776.64 ,777.56 ,-8.67 ,-1.10 ,0.00 ,0.00 
1997-01-24,777.53 ,778.21 ,768.17 ,770.52 ,-7.04 ,-0.91 ,0.00 ,0.00 
1997-01-27,770.52 ,771.43 ,764.18 ,765.02 ,-5.50 ,-0.71 ,0.00 ,0.00 
1997-01-28,765.02 ,776.32 ,761.75 ,765.02 ,0.00 ,0.00 ,0.00 ,0.00 
1997-01-29,765.02 ,772.70 ,765.02 ,772.50 ,7.48 ,0.98 ,0.00 ,0.00 
1997-01-30,772.50 ,784.17 ,772.50 ,784.17 ,11.67 ,1.51 ,0.00 ,0.00 
1997-01-31,784.17 ,791.86 ,784.17 ,786.16 ,1.99 ,0.25 ,0.00 ,0.00 
1997-02-03,786.16 ,787.14 ,783.12 ,786.73 ,0.57 ,0.07 ,0.00 ,0.00 
1997-02-04,786.73 ,789.28 ,783.68 ,789.26 ,2.53 ,0.32 ,0.00 ,0.00 
1997-02-05,789.26 ,792.71 ,773.43 ,778.28 ,-10.98 ,-1.39 ,0.00 ,0.00 
1997-02-06,778.28 ,780.35 ,774.45 ,780.15 ,1.87 ,0.24 ,0.00 ,0.00 
1997-02-07,780.15 ,789.72 ,778.19 ,789.56 ,9.41 ,1.21 ,0.00 ,0.00 
1997-02-10,789.56 ,793.46 ,784.69 ,785.43 ,-4.13 ,-0.52 ,0.00 ,0.00 
1997-02-11,785.43 ,789.60 ,780.95 ,789.59 ,4.16 ,0.53 ,0.00 ,0.00 
